"ID","Etat","Département","Station","Longitude","Latitude","Elevation","Derniere_Activite","Source","Code","Licence","URL_Licence"
"07222","FR","44","Nantes-Atlantique",-1.608833,47.15,26,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07240","FR","37","Tours - Parcay-Meslay",0.727333,47.4445,108,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07255","FR","18","Bourges",2.359833,47.059167,161,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07280","FR","21","Dijon-Longvic",5.088333,47.267833,219,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07299","FR","68","Bâle-Mulhouse",7.51,47.614333,263,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07314","FR","17","Pointe de Chassiron",-1.411667,46.046833,11,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07335","FR","86","Poitiers-Biard",0.314333,46.593833,125,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07434","FR","87","Limoges-Bellegarde",1.175,45.861167,402,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07460","FR","63","Clermont-Ferrand - Aulnat",3.149333,45.786833,331,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07471","FR","43","Le Puy-Loudes",3.764,45.0745,833,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07481","FR","69","Lyon-St Exupéry",5.077833,45.7265,235,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07510","FR","33","Bordeaux-Mérignac",-0.691333,44.830667,47,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07535","FR","46","Gourdon",1.396667,44.745,260,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07558","FR","12","Millau - Soulobres",3.0195,44.1185,712,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07577","FR","26","Montélimar - Ancone",4.733,44.581167,73,"2025-11-16T02:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07591","FR","5","Embrun",6.508667,44.571167,873,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07607","FR","40","Mont-de-Marsan",-0.500167,43.909833,59,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07621","FR","65","Tarbes - Ossun - Lourdes",0,43.188,360,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07627","FR","9","Saint-Girons - Antichan",1.106833,43.005333,414,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07630","FR","31","Toulouse-Blagnac",1.378833,43.621,151,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07643","FR","34","Montpellier - Fréjorgues",3.964667,43.576167,1,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07650","FR","13","Marseille-Marignane (Marseille Provence)",5.216,43.437667,9,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07661","FR","83","Saint-Mandrier-sur-Mer - Cap Cépet",5.940833,43.079333,115,"2025-01-13T11:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07690","FR","6","Nice - Côte d'Azur",7.209,43.648833,2,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07747","FR","66","Perpignan - Rivesaltes",2.872833,42.737167,42,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07761","FR","20","Ajaccio - Campo dell'Oro",8.792667,41.918,5,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"07790","FR","20","Bastia - Poretta",9.485167,42.540667,10,"2025-11-16T15:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"VENTOUX","FR","84","Mont-Ventoux (sommet)",5.278959,44.174607,1910,"0000-00-00T00:00:00Z","METEO-FRANCE",0,"Etalab Open License","https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"
"00002","FR","30","Le Vigan",3.60158,43.98956,245,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00003","FR","83","Besse sur Issole",6.17,43.34,275,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00004","FR","26","Granges lès Beaumont",4.98,45.05,155,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000VQ","FR","07","Dent de Rez",4.5022,44.42884,710,"2025-11-16T15:10:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00008","FR","59","Steenwerck",2.76999998092651,50.7000007629395,22,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000J1","FR","60","Senlis",2.58333,49.2,65,"2020-05-09T16:40:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00009","FR","38","Bouvesse-Quirieu",5.44012,45.78074,222,"2014-10-31T17:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00010","FR","30","Le Grau-du-Roi - Repausset-Levant",4.146814,43.532544,1,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00014","FR","38","Saint-Martin-d'Hères",5.7667,45.1667,220,"2025-11-16T15:15:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00015","FR","2B","Corte",9.14999961853027,42.3224983215332,470,"2024-08-14T14:50:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00018","FR","11","Ferrals-lès-Corbières",2.7333,43.15,72,"2025-11-16T15:00:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00001","FR","17","Saint-Médard-d'Aunis",-0.96,46.15,20,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00023","FR","19","Saint-Yrieix-le-Déjalat",1.9667,45.45,750,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00025","CH","CH","Saint-Triphon",6.98,46.29,441,"2024-11-18T09:00:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00027","FR","2B","Cardo",9.42797,42.70227,300,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00029","FR","54","Jarny",5.86932,49.15479,211,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
