station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,ensoleillement,temperature_sol,temps_omm,source,radiations,neige_au_sol,nebulosite,raw_msg,uv,temperature_eau
VENTOUX,2021-01-01 00:00:00,-4.1,,,,,,25.2,41.4,,139,-4.2,-4.1,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 01:00:00,-4,,,,,,20.2,40.3,,135,-4.1,-4,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 02:00:00,-4,,,,,,14,34.6,,145,-4.1,-3.9,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 03:00:00,-3.9,,,,,,21.2,37.4,,133,-4,-3.9,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 04:00:00,-4,,,,,,20.9,27.7,,166,-4,-3.9,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 05:00:00,-4,,,,,,8.6,16.5,,191,-4.1,-4,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 06:00:00,-4.1,,,,,,3.6,8.2,,231,-4.1,-4,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 07:00:00,-4.1,,,,,,12.2,16.2,,297,-4.1,-4,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 08:00:00,-4.2,,,,,,13.7,16.2,,357,-4.3,-4.1,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 09:00:00,-4.2,,,,,,3.6,7.6,,40,-4.3,-4.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 10:00:00,-4,,,,,,1.4,6.1,,19,-4.2,-3.9,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 11:00:00,-3.3,,,,,,2.9,7.2,,109,-4,-3.3,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 12:00:00,-2.8,,,,,,9.7,13.3,,134,-3.3,-2.8,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 13:00:00,-2.4,,,,,,13.7,17.3,,156,-2.8,-2.4,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 14:00:00,-2.2,,,,,,8.2,18,,138,-2.5,-2.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 15:00:00,-2.3,,,,,,9.7,19.1,,140,-2.3,-2.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 16:00:00,-3,,,,,,11.5,22,,142,-3,-2.3,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 17:00:00,-3.6,,,,,,10.4,21.2,,156,-3.6,-3,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 18:00:00,-4,,,,,,5,24.5,,138,-4,-3.6,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 19:00:00,-4.1,,,,,,14.7,39.2,,155,-4.1,-3.9,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 20:00:00,-4.2,,,,,,4,13.3,,135,-4.2,-4.1,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 21:00:00,-4.4,,,,,,4.3,10.8,,95,-4.4,-4.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 22:00:00,-4.4,,,,,,6.5,18.3,,127,-4.5,-4.4,,,,,,,,,,,,,,,
VENTOUX,2021-01-01 23:00:00,-4.4,,,,,,13,18,,66,-4.4,-4.4,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 00:00:00,-4.6,,,,,,10.4,14,,60,-4.6,-4.4,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 01:00:00,-4.8,,,,,,12.2,20.5,,22,-4.8,-4.6,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 02:00:00,-5.1,,,,,,20.9,25.9,,54,-5.1,-4.8,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 04:00:00,-5.7,,,,,,17.6,23,,19,-6.3,-5.7,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 05:00:00,-5.9,,,,,,30.6,39.2,,34,-5.9,-5.7,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 06:00:00,-6.1,,,,,,53.6,75.6,,51,-6.3,-5.9,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 07:00:00,-5.6,,,,,,43.2,56.9,,53,-6.1,-5.6,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 08:00:00,-5.3,,,,,,40.3,59,,51,-5.6,-5.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 09:00:00,-5.2,,,,,,26.3,41.8,,26,-5.3,-5.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 10:00:00,-5.4,,,,,,29.5,44.6,,37,-5.4,-5.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 11:00:00,-5.4,,,,,,39.6,47.5,,42,-5.5,-5.3,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 12:00:00,-5.6,,,,,,27.4,35.3,,25,-5.6,-5.4,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 13:00:00,-5.4,,,,,,26.6,34.6,,11,-5.6,-5.4,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 14:00:00,-5.3,,,,,,29.5,36,,43,-5.4,-5.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 15:00:00,-5.5,,,,,,25.6,32,,40,-5.5,-5.3,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 16:00:00,-4.8,,,,,,28.1,32.4,,12,-5.5,-4.8,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 17:00:00,-5,,,,,,17.3,20.5,,12,-5,-4.8,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 18:00:00,-5.2,,,,,,18.7,25.9,,68,-5.2,-5,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 19:00:00,-5.2,,,,,,31,43.2,,66,-5.3,-5.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 20:00:00,-5.2,,,,,,30.2,36.4,,66,-5.2,-5.2,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 21:00:00,-5.2,,,,,,26.3,28.8,,63,-5.2,-5.1,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 22:00:00,-5.1,,,,,,10.4,24.5,,108,-5.2,-5.1,,,,,,,,,,,,,,,
VENTOUX,2021-01-02 23:00:00,-5.2,,,,,,25.2,33.1,,71,-5.3,-5.1,,,,,,,,,,,,,,,
