station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,ensoleillement,temperature_sol,temps_omm,source,radiations,neige_au_sol,nebulosite,raw_msg,uv,temperature_eau
VENTOUX,2015-09-28 13:00:00,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 16:00:00,8.6,,,,,,13,,,278,8,9.5,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 17:00:00,7.1,,,,,,18.4,,,291,7.2,9.4,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 18:00:00,5.8,,,,,,18.7,,,326,7,8.9,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 19:00:00,5.2,,,,,,10.4,,,154,5.7,6.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 20:00:00,4.9,,,,,,27.4,,,148,5.1,5.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 21:00:00,4.3,,,,,,33.1,,,133,4.5,5.5,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 22:00:00,3.9,,,,,,43.9,,,151,4.1,4.9,,,,,,,,,,,,,,,
VENTOUX,2015-09-28 23:00:00,2.5,,,,,,57.6,,,144,3.7,4.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 07:00:00,1.7,,,,,,32,,,89,0.8,1.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 08:00:00,2.1,,,,,,36,,,96,1.6,2.1,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 09:00:00,2.6,,,,,,28.4,,,112,2,2.6,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 10:00:00,3.3,,,,,,26.6,,,110,2.6,3.6,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 11:00:00,3.8,,,,,,25.6,,,85,3.2,4,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 12:00:00,3.6,,,,,,24.8,,,85,3.5,4.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 13:00:00,4.2,,,,,,31,,,123,3.4,4.2,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 14:00:00,4.6,,,,,,21.2,,,122,3.7,4.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 15:00:00,4.7,,,,,,27,,,125,4.4,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 16:00:00,4.2,,,,,,13.7,,,143,4.2,4.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 18:00:00,3.8,,,,,,21.2,,,91,3.8,4.2,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 19:00:00,4,,,,,,26.6,,,98,3.8,4.1,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 20:00:00,4.1,,,,,,26.6,,,109,4,4.2,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 21:00:00,4.1,,,,,,26.3,,,106,3.9,4.1,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 22:00:00,4.2,,,,,,33.5,,,115,4,4.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-29 23:00:00,4.2,,,,,,38.9,,,130,3.8,4.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 00:00:00,3.9,,,,,,41,,,133,3.9,4.2,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 01:00:00,3.8,,,,,,44.3,,,139,3.7,4,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 02:00:00,4.5,,,,,,43.6,,,122,3.7,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 03:00:00,3.5,,,,,,39.2,,,141,3.5,4.6,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 04:00:00,4.6,,,,,,38.5,,,112,3.5,4.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 05:00:00,5,,,,,,36.7,,,107,4.6,5.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 06:00:00,5.3,,,,,,32.8,,,119,5,5.8,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 07:00:00,5.8,,,,,,23,,,89,5.3,5.9,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 08:00:00,6.3,,,,,,14,,,108,5.8,6.4,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 09:00:00,6.9,,,,,,14.4,,,72,6.3,7.2,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 10:00:00,6.2,,,,,,16.9,,,82,5.9,6.9,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 11:00:00,6.3,,,,,,13.7,,,83,6.1,6.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 12:00:00,7.2,,,,,,11.5,,,75,6.3,7.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 13:00:00,7.6,,,,,,4,,,53,7.1,7.8,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 14:00:00,7.6,,,,,,9,,,4,7.2,8.2,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 15:00:00,8.2,,,,,,11.2,,,347,7.4,8.3,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 16:00:00,6.5,,,,,,19.8,,,307,6.5,8.4,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 17:00:00,5.8,,,,,,25.6,,,329,5.7,6.5,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 18:00:00,5.6,,,,,,24.1,,,328,5.5,5.9,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 19:00:00,5.7,,,,,,26.3,,,353,5.2,5.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 20:00:00,5.5,,,,,,18.4,,,347,5.5,6,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 21:00:00,4.7,,,,,,17.3,,,351,4.7,5.5,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 22:00:00,3.9,,,,,,19.8,,,342,3.9,4.7,,,,,,,,,,,,,,,
VENTOUX,2015-09-30 23:00:00,3.6,,,,,,18.7,,,338,3.6,3.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 00:00:00,3.6,,,,,,13.3,,,355,3.4,3.7,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 01:00:00,2.8,,,,,,4.3,,,283,2.7,3.6,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 02:00:00,2.5,,,,,,5.8,,,296,2.2,3,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 03:00:00,1.8,,,,,,16.9,,,199,1.8,2.6,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 04:00:00,1.9,,,,,,9,,,204,1.8,2,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 05:00:00,1.8,,,,,,10.1,,,212,1.8,1.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 06:00:00,2.5,,,,,,5,,,87,1.7,2.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 07:00:00,3.5,,,,,,9.4,,,118,2.5,3.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 08:00:00,4.1,,,,,,7.2,,,110,3.4,4.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 09:00:00,4.3,,,,,,2.9,,,107,3.4,4.6,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 10:00:00,4.5,,,,,,3.2,,,274,3.8,4.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 11:00:00,4.8,,,,,,5.4,,,261,4.4,5.7,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 12:00:00,4.4,,,,,,9,,,215,4,4.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 13:00:00,5.1,,,,,,7.2,12.2,,180,4.2,5.3,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 15:00:00,5.8,,,,,,5.8,18.3,,197,5.2,6.6,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 16:00:00,,,,,,,,16.5,,,5.2,6.6,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 17:00:00,,,,,,,,14,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 18:00:00,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 19:00:00,,,,,,,,21.6,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 20:00:00,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 21:00:00,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 22:00:00,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-01 23:00:00,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 00:00:00,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 01:00:00,,,,,,,,22,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 02:00:00,,,,,,,,36,,,,,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 08:00:00,4.2,,,,,,16.9,19.8,,77,4,4.3,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 09:00:00,4.1,,,,,,24.5,30.2,,90,3.9,4.4,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 10:00:00,4.9,,,,,,34.6,40.7,,112,4,5,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 11:00:00,4.5,,,,,,24.8,30.2,,95,4.3,4.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 12:00:00,4.8,,,,,,35.6,43.2,,106,3.9,4.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 13:00:00,4.1,,,,,,37.8,49.7,,101,4.1,4.7,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 14:00:00,3.6,,,,,,34.6,46.1,,106,3.5,4.1,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 15:00:00,2.9,,,,,,41.4,48.6,,80,2.9,3.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 16:00:00,2.8,,,,,,41.4,51.1,,91,2.7,3,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 18:00:00,3.7,,,,,,36,52.9,,106,3,3.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 19:00:00,3.1,,,,,,30.2,36.4,,141,3.1,4,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 20:00:00,3,,,,,,21.6,26.6,,152,3,3.2,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 21:00:00,2.7,,,,,,23.4,31,,163,2.7,3.2,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 22:00:00,2.9,,,,,,42.8,48.6,,164,2.6,2.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-02 23:00:00,2.7,,,,,,51.1,56.9,,173,2.6,3.2,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 00:00:00,2.7,,,,,,48.6,55.8,,164,2.3,2.7,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 01:00:00,4.1,,,,,,54.7,64.1,,167,2.7,4.2,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 02:00:00,4.8,,,,,,43.2,56.2,,174,4,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 03:00:00,4.9,,,,,,43.6,53.6,,172,4.7,5,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 04:00:00,5,,,,,,47.5,58,,159,4.8,5.1,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 05:00:00,4.9,,,,,,55.4,65.5,,156,4.7,5,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 06:00:00,4.7,,,,,,55.1,64.4,,149,4.6,4.9,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 07:00:00,4.6,,,,,,61.6,72.7,,144,4.5,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 08:00:00,4.7,,,,,,87.1,99.4,,145,4.6,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 09:00:00,4.5,,,,,,77,99,,147,4.5,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 10:00:00,4.7,,,,,,85.7,102.2,,147,4.5,4.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 11:00:00,5.3,,,,,,82.1,99,,154,4.7,5.4,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 12:00:00,5.3,,,,,,104.4,126.4,,146,5,5.4,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 13:00:00,5.2,,,,,,98.6,119.5,,143,5.1,6,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 14:00:00,5.4,,,,,,92.2,119.2,,137,5.1,6,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 15:00:00,5.6,,,,,,64.8,95.8,,144,5.1,5.6,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 16:00:00,4.9,,,,,,16.9,35.6,,231,5.2,5.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 17:00:00,7.3,,,,,,22.3,57.6,,251,3.2,7.3,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 18:00:00,7.4,,,,,,14.4,41.8,,237,6.3,7.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 19:00:00,6.8,,,,,,19.1,41.4,,251,7.2,7.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 20:00:00,5.2,,,,,,36.4,56.9,,247,6.7,7.5,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 21:00:00,3.4,,,,,,33.5,56.5,,250,4.9,6.8,,,,,,,,,,,,,,,
VENTOUX,2015-10-03 22:00:00,4.1,,,,,,28.1,46.1,,245,3.4,5.4,,,,,,,,,,,,,,,
