station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,ensoleillement,temperature_sol,temps_omm,source,radiations,neige_au_sol,nebulosite,raw_msg,uv,temperature_eau
VENTOUX,2018-01-01 00:00:00,-5.9,,,,,,119.8,141.1,,332,-6.1,-4.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 01:00:00,-2.1,,,,,,,97.6,,,-2.2,-0.1,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 02:00:00,-3,,,,,,,92.9,,,-3,-2.1,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 03:00:00,-3.4,,,,,,,120.2,,,-3.4,-2.9,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 04:00:00,-3.6,,,,,,108.7,122.4,,331,-3.9,-3.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 05:00:00,-4.1,,,,,,107.6,131,,342,-4.4,-3.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 06:00:00,-4.5,,,,,,111.6,129.2,,337,-4.5,-4.1,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 07:00:00,-4.8,,,,,,96.1,118.8,,331,-4.8,-4.5,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 08:00:00,-4.7,,,,,,85.3,108.4,,328,-4.9,-4.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 09:00:00,-5.1,,,,,,79.6,94,,330,-5.1,-4.7,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 10:00:00,-5.3,,,,,,87.1,102.2,,326,-5.3,-5,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 11:00:00,-4.6,,,,,,76,91.1,,310,-5.3,-4.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 12:00:00,-3.6,,,,,,58.7,76,,298,-4.6,-3.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 13:00:00,-4.1,,,,,,59.4,66.2,,278,-4.4,-3.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 14:00:00,-3.4,,,,,,,71.3,,,-4.1,-3.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 15:00:00,-3.5,,,,,,,60.5,,,-4,-3.2,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 16:00:00,-2.9,,,,,,,71.6,,,-3.8,-2.8,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 17:00:00,-2.9,,,,,,71.3,94.3,,239,-3,-2.8,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 18:00:00,-3.2,,,,,,,0,,,-3.3,-2.8,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 19:00:00,-3.9,,,,,,71.6,84.2,,282,-4,-3.3,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 20:00:00,-3.8,,,,,,68.8,82.8,,303,-3.9,-3.7,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 21:00:00,-3.8,,,,,,79.6,91.1,,324,-3.8,-3.7,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 22:00:00,-3.9,,,,,,95.4,116.6,,320,-3.9,-3.8,,,,,,,,,,,,,,,
VENTOUX,2018-01-01 23:00:00,-4.4,,,,,,99.4,119.2,,327,-4.4,-3.8,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 00:00:00,2.3,,,,,,,0,,,2.1,2.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 01:00:00,-5.4,,,,,,94,115.2,,328,-5.9,-5.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 02:00:00,-5.6,,,,,,101.5,116.2,,332,-5.7,-5.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 03:00:00,-5.7,,,,,,102.6,122.4,,327,-5.7,-5.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 04:00:00,-5.6,,,,,,98.6,113,,331,-5.7,-5.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 05:00:00,-5.6,,,,,,86.4,104.8,,330,-5.6,-5.5,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 06:00:00,-5.6,,,,,,,95.8,,,-5.7,-5.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 07:00:00,-5.6,,,,,,,72.7,,,-5.6,-5.5,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 08:00:00,-5.5,,,,,,,0,,,-5.6,-5.5,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 09:00:00,-5.5,,,,,,84.6,97.9,,355,-5.6,-5.5,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 10:00:00,-5.9,,,,,,95.8,121.3,,346,-5.9,-5.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 11:00:00,-5.9,,,,,,,106.2,,,-6.1,-5.8,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 12:00:00,-5.9,,,,,,77.8,87.1,,353,-6,-5.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 13:00:00,-4.1,,,,,,,69.1,,,-5.9,-4,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 14:00:00,-3.8,,,,,,52.6,60.1,,335,-4.1,-3.7,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 15:00:00,-3.6,,,,,,55.1,63.7,,336,-3.8,-3.6,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 16:00:00,-2.3,,,,,,58,72.4,,317,-3.7,-2.3,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 17:00:00,-0.9,,,,,,69.5,74.9,,307,-2.3,-0.9,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 18:00:00,0,,,,,,73.4,89.3,,313,-0.9,0,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 19:00:00,0.5,,,,,,,90.4,,,0,0.5,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 20:00:00,0.8,,,,,,,76.7,,,0.4,1.1,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 21:00:00,1.9,,,,,,,81.7,,,0.5,2.2,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 22:00:00,2,,,,,,,0,,,1.8,2.4,,,,,,,,,,,,,,,
VENTOUX,2018-01-02 23:00:00,2.4,,,,,,,0,,,1.7,2.6,,,,,,,,,,,,,,,
