station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,ensoleillement,temperature_sol,temps_omm,source,radiations,neige_au_sol,nebulosite,raw_msg,uv,temperature_eau
VENTOUX,2024-01-01 00:00:00,-4.7,,,,,,66.6,87.1,,311,-5.1,-3.3,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 01:00:00,-4.9,,,,,,61.9,90.4,,301,-5.1,-4.8,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 02:00:00,-5,,,,,,67.3,83.5,,301,-5.1,-4.9,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 05:00:00,-4.6,,,,,,73.8,94.3,,317,-4.9,-4.5,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 06:00:00,-4.7,,,,,,71.6,92.2,,318,-4.7,-4.5,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 07:00:00,-4.8,,,,,,72.7,88.9,,318,-4.9,-4.7,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 08:00:00,-4.4,,,,,,72.7,84.6,,327,-4.8,-4.3,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 09:00:00,-3.8,,,,,,74.5,84.2,,321,-4.4,-3.7,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 10:00:00,-4.1,,,,,,59,86,,306,-4.3,-3.7,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 11:00:00,-3.7,,,,,,47.2,67.3,,307,-4.2,-3.5,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 12:00:00,-3.4,,,,,,56.2,69.1,,329,-3.8,-3.2,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 13:00:00,-3.2,,,,,,44.3,68.4,,310,-3.5,-3.1,,,,,,,,,,,,,,,
VENTOUX,2024-01-01 14:00:00,-3.5,,,,,,46.4,59.4,,301,-3.7,-3.3,,,,,,,,,,,,,,,
