station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0278,2024-04-13 06:20:00,3.4,,,87,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114lat":43.831,"lon":6.962,"batt":36.71},liveobjects
STATIC0278,2024-04-13 06:30:00,4.7,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.71},liveobjects
STATIC0278,2024-04-13 06:40:00,6.2,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 06:50:00,7.6,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 07:00:00,9.2,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":43.831,"lon":6.962,"batt":36.71},liveobjects
STATIC0278,2024-04-13 07:10:00,10.3,,,68,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 07:20:00,12,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 07:30:00,13.6,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 07:40:00,15.2,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 07:50:00,16.3,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 08:00:00,17.7,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 08:10:00,18.4,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 08:20:00,19.1,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 08:30:00,19.4,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 08:40:00,19.5,,,34,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 08:50:00,20.3,,,35,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 09:00:00,20.1,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 09:10:00,20.4,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 09:20:00,20.7,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 09:30:00,20.5,,,35,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 09:40:00,20.7,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 09:50:00,20.4,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 10:10:00,20.4,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 10:20:00,20.3,,,35,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 10:30:00,20.9,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 10:40:00,21.5,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 10:50:00,21.2,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 11:00:00,21.4,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 11:10:00,21.5,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 11:20:00,21.7,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 11:30:00,21.4,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 11:40:00,21.4,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.74},liveobjects
STATIC0278,2024-04-13 11:50:00,21.4,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 12:00:00,20.7,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
STATIC0278,2024-04-13 12:10:00,21.4,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":43.831,"lon":6.962,"batt":36.77},liveobjects
