station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0209,2025-01-01 05:30:00,2.8,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 05:40:00,2.8,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 05:50:00,2.7,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 06:00:00,2.8,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 06:10:00,2.9,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 06:20:00,2.8,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 06:30:00,3,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 06:40:00,2.8,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 06:50:00,3,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 07:00:00,3.1,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 07:10:00,3.1,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 07:20:00,2.8,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 07:30:00,3.2,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 07:40:00,3.2,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 07:50:00,2.9,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 08:00:00,3,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 08:10:00,3.1,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 08:30:00,3.4,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 08:40:00,3.6,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 08:50:00,3.7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 09:00:00,3.9,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 09:10:00,4,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 09:20:00,4.2,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 09:30:00,4.3,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 09:40:00,4.4,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 09:50:00,4.7,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 10:00:00,5,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 10:10:00,5.1,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 10:20:00,5.2,,,35,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 10:30:00,5.4,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 10:40:00,5.4,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
