station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0209,2023-09-27 14:20:00,17.3,,,45,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 14:30:00,18,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 14:40:00,18.2,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 14:50:00,18.3,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 15:00:00,18,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 15:10:00,18,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 15:20:00,17.9,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 15:30:00,17.2,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 15:40:00,17,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 15:50:00,17.5,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 16:00:00,16.5,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 16:10:00,15.4,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 16:20:00,15,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 16:30:00,14.8,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 16:40:00,14.7,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 16:50:00,14.8,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.33},liveobjects
STATIC0209,2023-09-27 17:00:00,14.7,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 17:10:00,14.5,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 17:20:00,14.3,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 17:30:00,14.3,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 17:40:00,14,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 17:50:00,14.1,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 18:00:00,14.3,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 18:10:00,14.3,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 18:20:00,13.9,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 18:30:00,13.9,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 18:40:00,14.1,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 18:50:00,14.3,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 19:00:00,14.1,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 19:10:00,14.2,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 19:20:00,13.9,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 19:30:00,13.8,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 19:40:00,13.8,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 19:50:00,13.8,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 20:00:00,13.8,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.917752,"lon":4.15288,"batt":36.39},liveobjects
STATIC0209,2023-09-27 20:10:00,13.8,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
STATIC0209,2023-09-27 20:20:00,13.9,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.917752,"lon":4.15288,"batt":36.41},liveobjects
