station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0192,2024-01-01 06:40:00,1.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.368267,"lon":5.807993},liveobjects
STATIC0192,2024-01-01 06:50:00,1.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 07:00:00,1.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.368088,"lon":5.808339},liveobjects
STATIC0192,2024-01-01 07:10:00,1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.371956,"lon":5.81171},liveobjects
STATIC0192,2024-01-01 07:20:00,0.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.37196,"lon":5.811713},liveobjects
STATIC0192,2024-01-01 07:30:00,0.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.38587,"lon":5.776793},liveobjects
STATIC0192,2024-01-01 07:40:00,0.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.38587,"lon":5.776793},liveobjects
STATIC0192,2024-01-01 07:50:00,0.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.37733,"lon":5.792733},liveobjects
STATIC0192,2024-01-01 08:00:00,0.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.37733,"lon":5.792733},liveobjects
STATIC0192,2024-01-01 08:10:00,0.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 08:20:00,1.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.381596,"lon":5.787578},liveobjects
STATIC0192,2024-01-01 08:50:00,1.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.381687,"lon":5.787638},liveobjects
STATIC0192,2024-01-01 09:00:00,1.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.383083,"lon":5.784991},liveobjects
STATIC0192,2024-01-01 09:10:00,1.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 09:20:00,1.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37675,"lon":5.793608},liveobjects
STATIC0192,2024-01-01 09:30:00,1.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 09:40:00,2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 09:50:00,2.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.37681,"lon":5.793648},liveobjects
STATIC0192,2024-01-01 10:00:00,2.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 10:10:00,2.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.372986,"lon":5.799424},liveobjects
STATIC0192,2024-01-01 10:20:00,2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.373528,"lon":5.799001},liveobjects
STATIC0192,2024-01-01 10:30:00,2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37431,"lon":5.797884},liveobjects
STATIC0192,2024-01-01 10:40:00,2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.373123,"lon":5.800055},liveobjects
STATIC0192,2024-01-01 10:50:00,2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.373955,"lon":5.79864},liveobjects
STATIC0192,2024-01-01 11:00:00,2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.374687,"lon":5.797388},liveobjects
STATIC0192,2024-01-01 11:10:00,2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.37533,"lon":5.796272},liveobjects
STATIC0192,2024-01-01 11:20:00,2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37438,"lon":5.797956},liveobjects
STATIC0192,2024-01-01 11:30:00,2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.373215,"lon":5.800069},liveobjects
STATIC0192,2024-01-01 11:40:00,2.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 12:00:00,3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 12:10:00,3.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 12:20:00,3.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 12:40:00,3.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.3731,"lon":5.800295},liveobjects
STATIC0192,2024-01-01 12:50:00,3.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.372494,"lon":5.80139},liveobjects
STATIC0192,2024-01-01 13:10:00,3.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":46.37301,"lon":5.800487},liveobjects
STATIC0192,2024-01-01 13:20:00,3.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.37193,"lon":5.80244},liveobjects
STATIC0192,2024-01-01 13:30:00,3.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.371,"lon":5.804146},liveobjects
STATIC0192,2024-01-01 13:40:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 13:50:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.370457,"lon":5.805156},liveobjects
STATIC0192,2024-01-01 14:00:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.370903,"lon":5.804363},liveobjects
STATIC0192,2024-01-01 14:10:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 14:20:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.371323,"lon":5.803613},liveobjects
STATIC0192,2024-01-01 14:30:00,3.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37172,"lon":5.802903},liveobjects
STATIC0192,2024-01-01 14:40:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.372097,"lon":5.80223},liveobjects
STATIC0192,2024-01-01 14:50:00,3.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.37245,"lon":5.80159},liveobjects
STATIC0192,2024-01-01 15:10:00,3.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37278,"lon":5.801012},liveobjects
STATIC0192,2024-01-01 15:20:00,3.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.37271,"lon":5.801152},liveobjects
STATIC0192,2024-01-01 15:30:00,3.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 15:40:00,3.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.373,"lon":5.800626},liveobjects
STATIC0192,2024-01-01 15:50:00,3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37328,"lon":5.800123},liveobjects
STATIC0192,2024-01-01 16:00:00,2.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 16:30:00,2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":46.372955,"lon":5.800721},liveobjects
STATIC0192,2024-01-01 16:50:00,2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 17:10:00,2.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 17:20:00,2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 17:40:00,1.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37306,"lon":5.800542},liveobjects
STATIC0192,2024-01-01 17:50:00,1.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 18:00:00,1.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.372543,"lon":5.801491},liveobjects
STATIC0192,2024-01-01 18:10:00,1.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.372017,"lon":5.802459},liveobjects
STATIC0192,2024-01-01 18:20:00,1.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 18:30:00,1.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37177,"lon":5.802918},liveobjects
STATIC0192,2024-01-01 18:40:00,1.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 18:50:00,1.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.371677,"lon":5.803093},liveobjects
STATIC0192,2024-01-01 19:00:00,1.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.371693,"lon":5.80307},liveobjects
STATIC0192,2024-01-01 19:20:00,1.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 19:30:00,1.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":46.371475,"lon":5.803473},liveobjects
STATIC0192,2024-01-01 19:40:00,1.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 19:50:00,1.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.3717,"lon":5.803065},liveobjects
STATIC0192,2024-01-01 20:00:00,1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37147,"lon":5.803493},liveobjects
STATIC0192,2024-01-01 20:10:00,0.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.37146,"lon":5.803521},liveobjects
STATIC0192,2024-01-01 20:20:00,0.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.371525,"lon":5.803405},liveobjects
STATIC0192,2024-01-01 20:40:00,0.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":46.37162,"lon":5.803234},liveobjects
STATIC0192,2024-01-01 20:50:00,0.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 21:00:00,0.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.37171,"lon":5.803074},liveobjects
STATIC0192,2024-01-01 21:20:00,0.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 21:30:00,0.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 21:40:00,1.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.371536,"lon":5.803397},liveobjects
STATIC0192,2024-01-01 22:10:00,1.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.371235,"lon":5.803961},liveobjects
STATIC0192,2024-01-01 22:40:00,1.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.370583,"lon":5.805172},liveobjects
STATIC0192,2024-01-01 22:50:00,1.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 23:00:00,1.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 23:10:00,1.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":46.369995,"lon":5.80626},liveobjects
STATIC0192,2024-01-01 23:30:00,1.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-01 23:40:00,1.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.369835,"lon":5.806564},liveobjects
STATIC0192,2024-01-01 23:50:00,1.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-120,"lat":46.36971,"lon":5.806793},liveobjects
STATIC0192,2024-01-02 00:10:00,1.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 00:20:00,1.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 00:40:00,1.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.370037,"lon":5.806193},liveobjects
STATIC0192,2024-01-02 00:50:00,1.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.369915,"lon":5.806419},liveobjects
STATIC0192,2024-01-02 01:00:00,1.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":46.369797,"lon":5.806641},liveobjects
STATIC0192,2024-01-02 01:40:00,2.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 02:10:00,2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.369564,"lon":5.807071},liveobjects
STATIC0192,2024-01-02 03:20:00,2.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.36945,"lon":5.80728},liveobjects
STATIC0192,2024-01-02 03:30:00,2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.36926,"lon":5.807639},liveobjects
STATIC0192,2024-01-02 03:50:00,2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.369076,"lon":5.80798},liveobjects
