station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0192,2023-08-22 08:00:00,18.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115lat":46.501156,"lon":5.924674},liveobjects
STATIC0192,2023-08-22 08:10:00,18.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.500786,"lon":5.924427},liveobjects
STATIC0192,2023-08-22 08:20:00,19.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.50042,"lon":5.924181},liveobjects
STATIC0192,2023-08-22 08:30:00,19.8,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":46.500053,"lon":5.923936},liveobjects
STATIC0192,2023-08-22 08:40:00,20.4,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 09:00:00,23.2,,,92,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.499687,"lon":5.923692},liveobjects
STATIC0192,2023-08-22 09:20:00,26,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.498966,"lon":5.923209},liveobjects
STATIC0192,2023-08-22 09:40:00,27.4,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":46.498608,"lon":5.922969},liveobjects
STATIC0192,2023-08-22 10:10:00,28.9,,,69,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.498253,"lon":5.92273},liveobjects
STATIC0192,2023-08-22 10:20:00,29.2,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 10:40:00,30.3,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 10:50:00,30.3,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.4979,"lon":5.922493},liveobjects
STATIC0192,2023-08-22 11:00:00,30.6,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 11:10:00,31.1,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.497543,"lon":5.922256},liveobjects
STATIC0192,2023-08-22 11:20:00,31,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.497192,"lon":5.922021},liveobjects
STATIC0192,2023-08-22 12:00:00,31.3,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":46.49684,"lon":5.921787},liveobjects
STATIC0192,2023-08-22 12:40:00,31.8,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.496494,"lon":5.921555},liveobjects
STATIC0192,2023-08-22 13:00:00,32.1,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.496147,"lon":5.921323},liveobjects
STATIC0192,2023-08-22 13:10:00,32.3,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.495804,"lon":5.921093},liveobjects
STATIC0192,2023-08-22 13:50:00,32.5,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.49546,"lon":5.920863},liveobjects
STATIC0192,2023-08-22 14:00:00,32.1,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 14:10:00,31.4,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.49512,"lon":5.920635},liveobjects
STATIC0192,2023-08-22 14:20:00,32.2,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":46.49478,"lon":5.920408},liveobjects
STATIC0192,2023-08-22 14:50:00,32.1,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 15:20:00,32.1,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 15:30:00,32,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.494446,"lon":5.920182},liveobjects
STATIC0192,2023-08-22 15:50:00,31.7,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.49411,"lon":5.919957},liveobjects
STATIC0192,2023-08-22 16:00:00,31.1,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 16:10:00,30.9,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.493774,"lon":5.919733},liveobjects
STATIC0192,2023-08-22 16:20:00,30.7,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.493443,"lon":5.919511},liveobjects
STATIC0192,2023-08-22 16:30:00,30.5,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.49311,"lon":5.919289},liveobjects
STATIC0192,2023-08-22 16:40:00,30.3,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2023-08-22 16:50:00,30.1,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.492783,"lon":5.919069},liveobjects
