station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0312,2024-08-23 15:50:00,30.7,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 16:00:00,31,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 16:10:00,30.5,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 16:20:00,30.3,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 16:30:00,29.9,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 16:40:00,29.6,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 16:50:00,29.1,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 17:00:00,28.6,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 17:10:00,28.2,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":30.5},liveobjects
STATIC0312,2024-08-23 17:20:00,27.7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 17:30:00,27.3,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 17:40:00,26.9,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":30.49},liveobjects
STATIC0312,2024-08-23 17:50:00,26.4,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":30.48},liveobjects
STATIC0312,2024-08-23 18:00:00,25.9,,,43,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":30.48},liveobjects
STATIC0312,2024-08-23 18:10:00,25.5,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":30.47},liveobjects
