station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0184,2025-01-01 00:00:00,4.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-97lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 00:10:00,4.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 00:20:00,4.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 00:30:00,4.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-92,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 00:40:00,4.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-97,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 00:50:00,4.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-96,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 01:00:00,4.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-98,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 01:10:00,4.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 01:20:00,4.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 01:30:00,4.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 01:40:00,4.8,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 01:50:00,4.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-88,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 02:00:00,4.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 02:10:00,4.6,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 02:20:00,4.6,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 02:30:00,4.6,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-97,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 02:40:00,4.6,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-97,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 02:50:00,4.5,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 03:00:00,4.4,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-92,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 03:10:00,4.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-96,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 03:20:00,4.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 03:30:00,4.3,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 03:40:00,4.3,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-85,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 03:50:00,4.2,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-85,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 04:00:00,4.1,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 04:10:00,4.1,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-83,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 04:20:00,4.1,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-89,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 04:30:00,4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 04:40:00,4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-85,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 04:50:00,3.8,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-81,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 05:00:00,3.8,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-86,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 05:10:00,3.7,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-87,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 05:20:00,3.7,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-97,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 05:30:00,3.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-96,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 05:40:00,3.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-83,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 05:50:00,3.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-81,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 06:00:00,3.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-89,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 06:10:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-86,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 06:20:00,3.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 06:30:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-92,"lat":null,"lon":null,"batt":36.39},liveobjects
STATIC0184,2025-01-01 06:40:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-92,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 06:50:00,3.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-85,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 07:00:00,3.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 07:10:00,3.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 07:20:00,3.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-86,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 07:30:00,3.9,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-79,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 07:40:00,3.9,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-88,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 07:50:00,4.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-78,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 08:00:00,4.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-81,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 08:10:00,4.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-83,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 08:20:00,4.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-95,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 08:30:00,4.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 08:40:00,4.4,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 08:50:00,4.4,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-84,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 09:00:00,4.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-82,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 09:10:00,4.7,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-82,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 09:20:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 09:30:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 09:40:00,4.8,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.16},liveobjects
STATIC0184,2025-01-01 09:50:00,5,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-96,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 10:00:00,5.1,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 10:10:00,5.1,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 10:20:00,5.1,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 10:30:00,5.1,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 10:40:00,5.3,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-89,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 10:50:00,5.2,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.47},liveobjects
STATIC0184,2025-01-01 11:00:00,5.3,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-94,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 11:10:00,5.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 11:20:00,5.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 11:30:00,5.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 11:40:00,5.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 11:50:00,5.4,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-91,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 12:00:00,5.4,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-92,"lat":null,"lon":null,"batt":36.42},liveobjects
STATIC0184,2025-01-01 12:10:00,5.5,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-98,"lat":null,"lon":null,"batt":36.45},liveobjects
STATIC0184,2025-01-01 12:20:00,5.6,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":36.45},liveobjects
