station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000VQ,2023-05-02 00:10:00,9.5,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 00:20:00,9.4,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 00:30:00,9.3,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 00:40:00,9.2,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 00:50:00,9.3,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 01:00:00,9.2,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 01:10:00,9.2,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 01:20:00,9,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 01:30:00,9,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 01:40:00,8.8,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 01:50:00,8.7,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 02:00:00,8.7,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 02:10:00,8.6,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 02:20:00,8.5,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 02:30:00,8.5,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 02:40:00,8.5,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 02:50:00,8.4,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 03:00:00,8.5,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 03:10:00,8.4,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 03:20:00,8.5,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 03:30:00,8.6,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 03:40:00,8.7,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 03:50:00,8.6,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 04:00:00,8.7,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 04:10:00,8.7,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 04:20:00,8.6,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 04:30:00,8.7,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 04:40:00,8.8,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 04:50:00,8.8,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 05:00:00,8.7,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 05:10:00,8.9,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 05:20:00,9.3,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 05:30:00,9.4,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 05:40:00,9.5,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 05:50:00,9.6,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 06:00:00,9.8,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 06:10:00,10.1,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 06:20:00,10.2,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 06:30:00,10.4,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 06:40:00,10.3,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 06:50:00,10.3,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 07:00:00,10.6,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 07:10:00,10.8,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 07:20:00,11.1,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 07:30:00,11.7,,,69,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 07:40:00,11.8,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 07:50:00,12.1,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 08:00:00,12.1,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 08:10:00,12.3,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 08:20:00,12.3,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 08:30:00,12.4,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 08:40:00,12.3,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 08:50:00,13,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 09:00:00,13,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 09:10:00,13,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 09:20:00,13.2,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 09:30:00,13.6,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 09:40:00,13.9,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 09:50:00,14.2,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 10:00:00,14.8,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 10:10:00,15.2,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 10:20:00,15.2,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 10:30:00,15.2,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 10:40:00,16.1,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 10:50:00,16.2,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 11:00:00,16.3,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 11:10:00,16.6,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 11:20:00,16.8,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 11:30:00,16.4,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 11:40:00,16.5,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 11:50:00,16.6,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 12:00:00,16.5,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 12:10:00,16.4,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 12:20:00,16.6,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 12:30:00,16.9,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 12:40:00,16.8,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 12:50:00,16.9,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 13:00:00,17,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 13:10:00,17.2,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 13:20:00,17,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 13:30:00,17.1,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 13:40:00,17.5,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 13:50:00,17.2,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 14:00:00,17.3,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 14:10:00,17.1,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 14:20:00,17.1,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 14:30:00,17.4,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 14:40:00,17.5,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 14:50:00,17.6,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 15:00:00,17.4,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 15:10:00,17.2,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 15:20:00,17.3,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 15:30:00,17.1,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 15:40:00,17.4,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 15:50:00,17.3,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 16:00:00,17,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 16:10:00,17,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 16:20:00,16.8,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 16:30:00,17,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 16:40:00,16.9,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 16:50:00,16.8,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 17:00:00,16.5,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 17:10:00,16.3,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 17:20:00,16.2,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 17:30:00,16,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 17:40:00,15.8,,,51,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 17:50:00,15.5,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 18:00:00,15.3,,,52,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 18:10:00,15.1,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 18:20:00,14.9,,,53,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 18:30:00,14.6,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 18:40:00,14.3,,,54,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 18:50:00,14.1,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 19:00:00,13.9,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 19:10:00,13.8,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 19:20:00,13.7,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 19:30:00,13.6,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 19:40:00,13.4,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 19:50:00,13.4,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 20:00:00,13.1,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 20:10:00,13.1,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 20:20:00,12.9,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 20:30:00,12.8,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 20:40:00,12.7,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 20:50:00,12.6,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 21:00:00,12.4,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 21:10:00,12.4,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 21:20:00,12.2,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 21:30:00,12.2,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 21:40:00,12.2,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.43,"lon":4.5},liveobjects
000VQ,2023-05-02 21:50:00,12.1,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.43,"lon":4.5},liveobjects
