station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0300,2024-07-14 16:50:00,23.7,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 17:00:00,23.5,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 17:10:00,23.7,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 17:20:00,23.4,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 17:30:00,23,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 17:40:00,22.7,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 17:50:00,22.1,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 18:00:00,21.8,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 18:10:00,21.6,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 18:20:00,21.3,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 18:30:00,20.6,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
