station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-28 05:30:00,9,,,90,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 05:40:00,8.7,,,89,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 05:50:00,8.6,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 06:00:00,8.5,,,87,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 06:10:00,8.4,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 06:20:00,8.5,,,86,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 06:30:00,8.5,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 06:40:00,8.2,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 06:50:00,8.2,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 07:00:00,8,,,87,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 07:10:00,8,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 07:40:00,7.9,,,86,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 08:00:00,7.5,,,90,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 08:10:00,7.3,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 08:20:00,7.3,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 08:30:00,7.2,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 08:40:00,7,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 08:50:00,7,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 09:10:00,6.9,,,92,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 09:20:00,7,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 09:30:00,7,,,90,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 09:40:00,7.1,,,87,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 09:50:00,7.1,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 10:00:00,7,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 10:10:00,6.8,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 10:20:00,7.2,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 10:30:00,8.5,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 10:40:00,9.4,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 10:50:00,9.5,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 11:00:00,9.8,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 11:10:00,9.9,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 11:20:00,10.1,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 11:30:00,10.2,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 11:40:00,10.9,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 11:50:00,11,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 12:00:00,10.8,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 12:10:00,10.5,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 12:20:00,10.1,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 12:30:00,9.4,,,68,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 12:40:00,9.7,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 12:50:00,9.3,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 13:00:00,9.7,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 13:10:00,10,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 13:20:00,10,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 13:30:00,10,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 13:40:00,10.1,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 14:00:00,8.7,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 14:10:00,8.4,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 14:20:00,8.2,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 14:30:00,8,,,68,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 14:40:00,7.6,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 14:50:00,7.5,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 15:00:00,7.4,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 15:10:00,6.8,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 15:20:00,6.1,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 15:30:00,5.4,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":36.03},liveobjects
000UO,2024-11-28 15:40:00,4.7,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 15:50:00,4.5,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 16:00:00,4.8,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 16:10:00,4.3,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 16:20:00,3.9,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 16:30:00,3.5,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 16:40:00,3.6,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 16:50:00,3.6,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 17:10:00,4,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 17:50:00,2.2,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 18:00:00,2.1,,,90,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 18:10:00,2.2,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 18:20:00,2.3,,,90,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 18:30:00,2.2,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-28 18:40:00,2,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 18:50:00,1.8,,,92,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 19:00:00,1.5,,,92,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 19:10:00,1.1,,,92,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 19:20:00,1,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 19:30:00,0.8,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 19:40:00,0.6,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 19:50:00,0.7,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 20:00:00,0.3,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 20:10:00,0.3,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 20:20:00,0.2,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 20:30:00,0,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 20:40:00,0.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-28 20:50:00,0.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 21:00:00,0.5,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 21:10:00,0.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 21:20:00,0.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 21:30:00,-0.1,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 21:40:00,-0.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 21:50:00,-0.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 22:00:00,-0.1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 22:10:00,0.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 22:20:00,0.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 22:30:00,0.3,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 22:40:00,0,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 22:50:00,-0.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 23:00:00,-0.4,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-28 23:10:00,-0.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 23:20:00,-0.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-28 23:30:00,-0.9,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-28 23:40:00,-1,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 00:00:00,-1.2,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 00:10:00,-1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 00:20:00,-1.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 00:30:00,-1.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 00:40:00,-1.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 00:50:00,-1.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 01:00:00,-1.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 01:10:00,-1.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 01:30:00,-1.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 01:40:00,-1.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 01:50:00,-1.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 02:00:00,-2.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 02:10:00,-2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 02:20:00,-2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 02:40:00,-2.1,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 02:50:00,-2.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 03:00:00,-2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 03:10:00,-2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 03:20:00,-2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 03:30:00,-2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 03:40:00,-2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 03:50:00,-2.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 04:00:00,-2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 04:10:00,-2.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 04:20:00,-2.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 04:30:00,-2.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 04:40:00,-2.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-29 04:50:00,-2.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 05:10:00,-2.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 05:20:00,-2.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 05:30:00,-2.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 05:40:00,-2.9,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 05:50:00,-3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-29 06:00:00,-3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 06:10:00,-3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 06:20:00,-3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 06:30:00,-2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 06:40:00,-3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 06:50:00,-2.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 07:00:00,-2.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 07:10:00,-2.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 07:20:00,-2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 07:30:00,-2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 08:00:00,-2.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 08:10:00,-2.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 08:20:00,-2.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 08:30:00,-2.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 08:40:00,-2.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 08:50:00,-1.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-29 09:00:00,-1.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 09:10:00,-1.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 09:20:00,-1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 09:30:00,-0.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 09:40:00,-0.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 09:50:00,-0.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 10:00:00,-0.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 10:10:00,-0.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 10:20:00,-0.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 10:30:00,0,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 10:40:00,0,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 10:50:00,0.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.96},liveobjects
000UO,2024-11-29 11:00:00,0.4,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 11:10:00,0.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 11:20:00,0.8,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 11:40:00,1,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 11:50:00,1.3,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 12:10:00,1.3,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":36.01},liveobjects
000UO,2024-11-29 12:20:00,1.5,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":35.98},liveobjects
000UO,2024-11-29 12:30:00,1.7,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.98},liveobjects
