station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-20 20:00:00,2.2,,,63,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 20:10:00,1.9,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 20:20:00,2.1,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 20:30:00,1.9,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 20:40:00,2.2,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 20:50:00,1.9,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 21:00:00,1.7,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 21:10:00,2,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 21:20:00,1.8,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 21:30:00,2.1,,,65,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 21:40:00,1.8,,,67,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 21:50:00,1.2,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 22:00:00,0.8,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 22:10:00,0.7,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 22:20:00,0.9,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-20 22:30:00,1.4,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 22:40:00,2.2,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 22:50:00,1.7,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 23:00:00,1,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 23:10:00,0.6,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 23:20:00,0.5,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 23:30:00,0.7,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 23:40:00,0.9,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-20 23:50:00,0.9,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 00:00:00,1.2,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
